"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23"
2.200,435.79,2.200,563.96,2.200,762.63,2.200,1063.84,2.200,1582.95,2.200,2441.71,2.200,3419.04,2.200,3662.57,2.200,3755.49,2.200,3524.78,2.200,2922.36,2.200,2557.07,2.200,2384.03,2.200,1848.91,2.200,1441.96,2.200,954.90,2.200,554.35,2.200,378.11,2.200,237.12,2.200,147.40,2.200,102.54,2.200,51.27,2.200,32.04
2.250,435.79,2.250,570.37,2.250,756.23,2.250,1070.25,2.250,1576.54,2.250,2438.51,2.250,3406.22,2.250,3685.00,2.250,3790.74,2.250,3531.19,2.250,2922.36,2.250,2557.07,2.250,2384.03,2.250,1858.52,2.250,1454.77,2.250,945.28,2.250,557.56,2.250,378.11,2.250,243.53,2.250,150.60,2.250,102.54,2.250,51.27,2.250,32.04
2.300,435.79,2.300,570.37,2.300,756.23,2.300,1057.43,2.300,1560.52,2.300,2467.35,2.300,3403.02,2.300,3691.41,2.300,3774.72,2.300,3534.39,2.300,2922.36,2.300,2557.07,2.300,2364.81,2.300,1864.93,2.300,1461.18,2.300,954.90,2.300,557.56,2.300,378.11,2.300,240.33,2.300,147.40,2.300,102.54,2.300,51.27,2.300,32.04
2.350,429.38,2.350,567.17,2.350,762.63,2.350,1051.03,2.350,1557.31,2.350,2473.75,2.350,3444.67,2.350,3665.77,2.350,3758.70,2.350,3524.78,2.350,2922.36,2.350,2557.07,2.350,2384.03,2.350,1864.93,2.350,1461.18,2.350,954.90,2.350,557.56,2.350,384.52,2.350,237.12,2.350,147.40,2.350,102.54,2.350,51.27,2.350,32.04
2.400,435.79,2.400,563.96,2.400,762.63,2.400,1063.84,2.400,1576.54,2.400,2448.12,2.400,3438.26,2.400,3665.77,2.400,3755.49,2.400,3524.78,2.400,2922.36,2.400,2557.07,2.400,2384.03,2.400,1845.70,2.400,1441.96,2.400,954.90,2.400,551.15,2.400,381.32,2.400,237.12,2.400,147.40,2.400,102.54,2.400,51.27,2.400,32.04
2.450,435.79,2.450,570.37,2.450,759.43,2.450,1070.25,2.450,1582.95,2.450,2435.30,2.450,3409.42,2.450,3665.77,2.450,3765.11,2.450,3524.78,2.450,2922.36,2.450,2557.07,2.450,2384.03,2.450,1858.52,2.450,1454.77,2.450,948.49,2.450,557.56,2.450,378.11,2.450,243.53,2.450,150.60,2.450,102.54,2.450,51.27,2.450,32.04
2.500,435.79,2.500,570.37,2.500,749.82,2.500,1063.84,2.500,1563.72,2.500,2457.73,2.500,3406.22,2.500,3710.63,2.500,3797.15,2.500,3550.42,2.500,2922.36,2.500,2557.07,2.500,2377.62,2.500,1861.72,2.500,1461.18,2.500,948.49,2.500,557.56,2.500,378.11,2.500,243.53,2.500,147.40,2.500,102.54,2.500,51.27,2.500,32.04
2.550,432.59,2.550,570.37,2.550,762.63,2.550,1051.03,2.550,1557.31,2.550,2473.75,2.550,3431.85,2.550,3672.18,2.550,3761.90,2.550,3527.98,2.550,2922.36,2.550,2557.07,2.550,2377.62,2.550,1861.72,2.550,1461.18,2.550,954.90,2.550,557.56,2.550,381.32,2.550,237.12,2.550,147.40,2.550,102.54,2.550,51.27,2.550,32.04
2.600,435.79,2.600,563.96,2.600,762.63,2.600,1057.43,2.600,1573.33,2.600,2444.92,2.600,3454.28,2.600,3665.77,2.600,3755.49,2.600,3524.78,2.600,2922.36,2.600,2557.07,2.600,2384.03,2.600,1858.52,2.600,1445.16,2.600,954.90,2.600,551.15,2.600,384.52,2.600,237.12,2.600,147.40,2.600,102.54,2.600,51.27,2.600,32.04
2.650,435.79,2.650,563.96,2.650,762.63,2.650,1063.84,2.650,1582.95,2.650,2438.51,2.650,3412.63,2.650,3662.57,2.650,3755.49,2.650,3524.78,2.650,2922.36,2.650,2557.07,2.650,2384.03,2.650,1855.32,2.650,1448.36,2.650,954.90,2.650,557.56,2.650,378.11,2.650,240.33,2.650,147.40,2.650,102.54,2.650,51.27,2.650,32.04
2.700,435.79,2.700,570.37,2.700,753.02,2.700,1070.25,2.700,1570.13,2.700,2441.71,2.700,3403.02,2.700,3694.61,2.700,3797.15,2.700,3544.01,2.700,2922.36,2.700,2557.07,2.700,2387.24,2.700,1861.72,2.700,1454.77,2.700,942.08,2.700,557.56,2.700,378.11,2.700,243.53,2.700,147.40,2.700,102.54,2.700,51.27,2.700,32.04
