"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
2.100,477.45,2.100,993.35,2.100,1224.06,2.100,1236.88,2.100,1198.43,2.100,1147.16,2.100,1095.89,2.100,1057.43,2.100,1073.46,2.100,1025.39,2.100,970.92,2.100,922.85,2.100,852.36,2.100,801.09,2.100,765.84,2.100,737.00,2.100,698.55,2.100,628.05,2.100,538.33,2.100,442.20,2.100,384.52,2.100,333.25,2.100,294.80,2.100,217.90,2.100,160.22
2.150,480.65,2.150,967.71,2.150,1198.43,2.150,1236.88,2.150,1166.38,2.150,1147.16,2.150,1083.07,2.150,1086.27,2.150,1073.46,2.150,1022.19,2.150,977.33,2.150,919.65,2.150,845.95,2.150,801.09,2.150,762.63,2.150,724.18,2.150,685.73,2.150,612.03,2.150,551.15,2.150,451.81,2.150,384.52,2.150,333.25,2.150,294.80,2.150,221.10,2.150,160.22
2.200,480.65,2.200,986.94,2.200,1220.86,2.200,1208.04,2.200,1185.61,2.200,1121.52,2.200,1115.11,2.200,1095.89,2.200,1041.41,2.200,990.14,2.200,954.90,2.200,897.22,2.200,858.76,2.200,801.09,2.200,769.04,2.200,724.18,2.200,679.32,2.200,602.42,2.200,544.74,2.200,455.02,2.200,384.52,2.200,339.66,2.200,304.41,2.200,217.90,2.200,160.22
2.250,480.65,2.250,993.35,2.250,1224.06,2.250,1211.24,2.250,1198.43,2.250,1108.70,2.250,1121.52,2.250,1095.89,2.250,1038.21,2.250,996.55,2.250,942.08,2.250,890.81,2.250,877.99,2.250,826.72,2.250,788.27,2.250,740.20,2.250,685.73,2.250,602.42,2.250,535.13,2.250,445.40,2.250,384.52,2.250,339.66,2.250,301.21,2.250,217.90,2.250,160.22
2.300,480.65,2.300,993.35,2.300,1224.06,2.300,1233.67,2.300,1198.43,2.300,1134.34,2.300,1121.52,2.300,1067.05,2.300,1070.25,2.300,1018.98,2.300,948.49,2.300,916.44,2.300,877.99,2.300,817.11,2.300,775.45,2.300,749.82,2.300,704.96,2.300,618.44,2.300,531.92,2.300,442.20,2.300,397.34,2.300,333.25,2.300,294.80,2.300,217.90,2.300,160.22
2.350,474.24,2.350,990.14,2.350,1220.86,2.350,1236.88,2.350,1195.22,2.350,1147.16,2.350,1089.48,2.350,1057.43,2.350,1073.46,2.350,1025.39,2.350,974.12,2.350,926.06,2.350,852.36,2.350,801.09,2.350,762.63,2.350,733.80,2.350,692.14,2.350,628.05,2.350,541.53,2.350,442.20,2.350,384.52,2.350,333.25,2.350,294.80,2.350,217.90,2.350,160.22
2.400,480.65,2.400,974.12,2.400,1204.83,2.400,1236.88,2.400,1159.97,2.400,1147.16,2.400,1083.07,2.400,1089.48,2.400,1070.25,2.400,1012.57,2.400,980.53,2.400,910.03,2.400,845.95,2.400,801.09,2.400,762.63,2.400,724.18,2.400,682.53,2.400,608.83,2.400,551.15,2.400,455.02,2.400,384.52,2.400,333.25,2.400,294.80,2.400,217.90,2.400,160.22
2.450,480.65,2.450,986.94,2.450,1224.06,2.450,1201.63,2.450,1192.02,2.450,1118.32,2.450,1115.11,2.450,1095.89,2.450,1038.21,2.450,986.94,2.450,948.49,2.450,897.22,2.450,865.17,2.450,810.70,2.450,775.45,2.450,724.18,2.450,679.32,2.450,602.42,2.450,541.53,2.450,451.81,2.450,384.52,2.450,346.07,2.450,304.41,2.450,217.90,2.450,160.22
2.500,480.65,2.500,993.35,2.500,1224.06,2.500,1220.86,2.500,1198.43,2.500,1108.70,2.500,1121.52,2.500,1099.09,2.500,1047.82,2.500,1002.96,2.500,942.08,2.500,890.81,2.500,877.99,2.500,826.72,2.500,788.27,2.500,743.41,2.500,692.14,2.500,602.42,2.500,531.92,2.500,442.20,2.500,387.73,2.500,339.66,2.500,298.00,2.500,217.90,2.500,160.22
2.550,480.65,2.550,993.35,2.550,1224.06,2.550,1236.88,2.550,1198.43,2.550,1140.75,2.550,1118.32,2.550,1063.84,2.550,1070.25,2.550,1018.98,2.550,958.10,2.550,922.85,2.550,871.58,2.550,810.70,2.550,772.25,2.550,753.02,2.550,704.96,2.550,621.64,2.550,531.92,2.550,442.20,2.550,390.93,2.550,333.25,2.550,294.80,2.550,217.90,2.550,160.22
